Pipeline,precision,recall,f1,mean_iou,tp,fp,fn
Camera-Only,0.26862745098039215,0.7740112994350282,0.39883551673944684,0.7840457261409293,137,373,40
Fusion-Filtered,0.3392857142857143,0.536723163841808,0.41575492341356673,0.7974955157997567,95,185,82
Fusion-Enhanced,0.3941908713692946,0.536723163841808,0.4545454545454546,0.7974955157997567,95,146,82
